City,Latitude,Longitude
Bridgeville,38.7427231,-75.6032026
Bridgewater,41.9902206,-70.9754432
Bridgman,41.9430986,-86.5569659
Brigham City,41.5110434,-112.0154991
Brighton,50.8214626,-0.1400561
Brillion,44.1772188,-88.064263
Brinkley,52.1678912,0.3791921
Brinkley                                ,52.1678912,0.3791921
Bristol,51.4538022,-2.5972985
Bristol                                 ,51.4538022,-2.5972985
Broadview Heights,41.3139426,-81.6851271
Broadway,40.7724996,-73.9822829
Brodhead,37.4042496,-84.4138259
Brogue                                  ,39.8723546,-76.4846387
Broken Arrow,36.0525993,-95.7908195
Broken Bow,41.4018116,-99.6393288
Broken Bow                              ,41.4018116,-99.6393288
Bronte,37.7871598,14.8338448
Bronx,40.8466508,-73.8785937
Brookfield,41.8228378,-87.848085
Brookfield                              ,41.8228378,-87.848085
Brookhaven,31.5790667,-90.4407122
Brookhaven                              ,31.5790667,-90.4407122
Brookings                               ,44.311461,-96.79844
Brooklyn,40.6526006,-73.9497211
Brookpark,41.4197915,-81.8238184
Brooks                                  ,26.9879856,-98.2071041
Brooksville,28.5552719,-82.3878709
Brooksville                             ,28.5552719,-82.3878709
Brookville,40.8131553,-73.5673482
Broussard,30.1471506,-91.9612413
Brownfield,33.1811661,-102.274237
Brownsville,25.9024289,-97.4981698
Brownville,44.007003,-75.984092
Brownwood,31.7070026,-98.9831022
Bruceton Mills,39.6586918,-79.6411594
Brundidge                               ,31.7201615,-85.8160567
Brunswick,52.2646577,10.5236066
Brush,40.2584914,-103.623473
Bryan,30.6743643,-96.3699632
Bryant,40.4661513,-90.0917851
Buckatunna                              ,31.539053,-88.5289155
Buckeye,33.3703197,-112.583776
Buckhannon,38.9939426,-80.2322698
Bucyrus,40.8083909,-82.9754649
Buda,47.4938673,19.0417582
Buda                                    ,47.4938673,19.0417582
Budd Lake,40.8738399,-74.7383163943837
Buena Vista,42.7445814,-95.1127525
Buffalo,42.8867166,-78.8783922
Buffalo                                 ,42.8867166,-78.8783922
Bulls Gap,36.2535742,-83.086061
Buna,43.2461398,17.8608023
Buna                                    ,43.2461398,17.8608023
Bunker Hill,38.8744705,-98.6995326356943
Bunkie,30.9528641,-92.1857892
Bunkie                                  ,30.9528641,-92.1857892
Burbank,34.1812089,-118.307201
Burgaw,34.5521113,-77.926098
Burlington,44.4761601,-73.212906
Burlington                              ,44.4761601,-73.212906
Burnet,30.7763939,-98.1700016
Burns                                   ,43.5861256,-119.054413
Burton,52.802742,-1.629917
Burwell,52.2757688,0.3282566
Bushnell,28.6644827,-82.1117399
Butler,39.4233043,-84.5936897
Butler                                  ,39.4233043,-84.5936897
Butte,39.6519275,-121.5858444
Butte                                   ,39.6519275,-121.5858444
Byhalia,34.8723179,-89.6906396
Byhalia                                 ,34.8723179,-89.6906396
Byram,41.0042642,-73.6537385
Byron,44.0325922,-92.6454395
Byron                                   ,44.0325922,-92.6454395
Byron Center,42.81928795,-85.7279160225819
CHANDLER,33.3062031,-111.841185
Cabool,37.123941,-92.1012678
Cabot,34.974532,-92.0165336
Caddo Mills,33.065668,-96.2278201
Cadillac,44.6360817,-0.3173533
Cadott,44.9480187,-91.1507031
Cairo,30.0443879,31.2357257
Cairo                                   ,30.0443879,31.2357257
Caldwell,29.8298971,-97.5959641
Caldwell                                ,29.8298971,-97.5959641
Caledonia,43.6350469,-91.496387
Calera,33.1035045,-86.7505733
Calexico,32.6668134,-115.4963754
Calgary,51.0456064,-114.057541
Calgary                                 ,51.0456064,-114.057541
Calhoun,28.5031572,-96.6736551
Calhoun                                 ,28.5031572,-96.6736551
California                              ,36.7014631,-118.755997
Callahan,32.2810409,-99.3612437
Calmar,56.6628826,16.3662382
Calumet,44.0751086,-88.2144321
Calumet                                 ,44.0751086,-88.2144321
Calvert City,37.0333896,-88.3500362
Cambridge,52.2055314,0.1186637
Cambridge City,39.8129285,-85.1708971
Cameron,4.6125522,13.1535811
Camilla,31.2312887,-84.2103726
Camp Douglas                            ,43.9193145,-90.2681006
Campbell,38.9339799,-84.3715286
Campbellsville                          ,37.3433974,-85.3419069
Campobello,35.1158728,-82.149935
Canaan,43.647007,-72.013321
Canadian,35.5438102,-98.0031532
Canajoharie,42.9056288,-74.5718073
Canastota,43.079672,-75.751076
Candia                                  ,35.3084952,24.463342318423
Candler,32.4146577,-82.0930776
Candor,49.626539,2.8935199
Caneyville,37.4242184,-86.4883148
Canon City,38.4422506,-105.2348795
Canton,23.1301964,113.2592945
Canton                                  ,23.1301964,113.2592945
Canutillo,31.9124684,-106.598098
Canyon,34.9799429,-101.919197
Capac,43.0125274,-82.9279881
Cape Charles,37.2671674,-76.0176986
Capitol Heights,38.8849913,-76.9134765
Cardwell                                ,36.0495441,-90.2931492
Carey,40.9525551,-83.3824238
Carlin                                  ,40.713059,-116.1070877
Carlisle,54.8948478,-2.9362311
Carlisle                                ,54.8948478,-2.9362311
Carlsbad,33.1580933,-117.3505966
Carlsbad                                ,33.1580933,-117.3505966
Carlstadt,40.8403778,-74.0906974
Carlstadt                               ,40.8403778,-74.0906974
Carlton,46.5799933,-92.7206334
Carnesville,34.3698266,-83.235155
Caro                                    ,47.86393,-2.32025
Carol Stream,41.9125286,-88.1347927
Carpio                                  ,41.2126514,-5.10906
Carrington,47.44972,-99.126224
Carrizo Springs,28.5249088,-99.8616529
Carrizozo,33.6451866,-105.8775111
Carroll,42.0647352,-89.9556785
Carrollton,32.9537349,-96.8902816
Carrollton                              ,32.9537349,-96.8902816
Carson City,39.1698022,-119.7575628
Carteret                                ,34.8496625,-76.5931208
Cartersville,34.1652304,-84.7997613
Carthage,36.8548083,10.3309924
Carthage                                ,36.8548083,10.3309924
Casa Blanca                             ,38.8976997,-77.03655315
Casco                                   ,42.7525317,-82.6715845
Casey,37.2911032,-84.9146294
Casper,42.8501191,-106.325138
Casselton,46.900529,-97.2112
Castle Creek,48.9746486,-120.8208239
Castle Dale,39.212192,-111.019613
Castle Rock,39.3722552,-104.858682
Castleton On Hudson,42.5308134,-73.7553018
Castroville,29.3565001,-98.8788844
Catarina,-6.1340485,-39.8791754
Catlettsburg,38.4048042,-82.6004369
Cave City,37.1367544,-85.9562169
Cayce,33.9657091,-81.0739827
Cayuta,42.2817412,-76.6968945
Cedar City,37.6774238,-113.061827
Cedar City                              ,37.6774238,-113.061827
Cedar Creek,41.0366655,-96.0994583
Cedar Falls,42.5361805,-92.447758
Cedar Grove,40.8517662,-74.229035
Cedar Grove                             ,40.8517662,-74.229035
Cedar Rapids,41.9758872,-91.6704053
Cedar Springs,43.22336,-85.551424
Center,31.7952814,-94.1803576
Center Point,42.1908265,-91.7851772
Centerville,31.2578221,-95.9785301
Centerville                             ,31.2578221,-95.9785301
Central City,39.8019322,-105.514163
Central Square,43.2870009,-76.1463601
Centre,47.5490251,1.7324062
Centreville                             ,32.9445682,-87.1386067
Chadron,44.9601372,3.9354515
Chalmette,29.944196,-89.9644624220595
Chamberlain,43.810817,-99.330178
Chambersburg,39.9375112,-77.6612586
Champaign,40.1164841,-88.2430932
Champion,50.24272,-113.1514765
Champlain,44.986656,-73.446693
Chandler,33.3062031,-111.841185
Channahon,41.4294753,-88.2286735
Channahon                               ,41.4294753,-88.2286735
Chantilly,49.1931736,2.4636686
Chanute,37.6816841,-95.4517985
Chappell Hill,30.141529,-96.2567185
Chariton,39.5372927,-92.9524728
Chariton                                ,39.5372927,-92.9524728
Charles City,37.3705777,-77.0605098
Charleston,32.7884363,-79.9399309
Charleston                              ,32.7884363,-79.9399309
Charlotte,35.2272086,-80.8430827
Charlottesville,38.029306,-78.4766781
Charlton,30.8775388,-82.1185847
Charlton                                ,30.8775388,-82.1185847
Chatfield,43.8446296,-92.1880907
Chatsworth,34.2595715,-118.6023247
Chattanooga,35.0457219,-85.3094883
Checotah                                ,35.4700917,-95.5230691
Chehalis,46.6599653,-122.963432
Cherokee                                ,31.8390826,-95.1791849
Cherry Hill,39.9348351,-75.0307264
Cherry Valley,42.2392959,-88.9597115
Cherryvale,37.270344,-95.5524788
Chesapeake,36.7168315,-76.2494453
Chesnee,35.1484549,-81.8609371
Chester,53.1908873,-2.8908955
Chester                                 ,53.1908873,-2.8908955
Chesterfield,38.661953,-90.5643258
Chesterton,52.5462832,-0.34582864052458
Cheyenne,41.139981,-104.820246
Chicago,41.8755616,-87.6244212
Chicago                                 ,41.8755616,-87.6244212
Chicago Heights,41.5062834,-87.6357079
Chickasha,35.0512159,-97.9370036
Chickasha                               ,35.0512159,-97.9370036
Chicopee,42.1487691,-72.6071119
Chiefland,29.4749586,-82.8591997
Childersburg,33.2781686,-86.3549774
Childress,34.51965685,-100.206765571874
Chillicothe,39.3331197,-82.9824019
Chilliwack                              ,49.1709788,-121.95255
Chilton,32.8522565,-86.7032845
Chinook,48.590132,-109.231823
Chippewa Falls,44.9371325,-91.3932118
Chisago City,45.3735757,-92.8899376
Chocowinity,35.5125955,-77.1009232
Choctaw,31.9908095,-88.2821326
Chouteau,47.8835499,-110.367651
Christiana,39.9548262,-75.9968949
Christiana                              ,39.9548262,-75.9968949
Christiansburg,37.1298517,-80.4089389
Cicero,41.8455398,-87.7540199
Cicero                                  ,41.8455398,-87.7540199
Cincinnati,39.1014537,-84.5124602
Cincinnati                              ,39.1014537,-84.5124602
Circle Pines,45.144882,-93.1553635
Circleville,39.600618,-82.9460133
Cisco,32.3828077,-98.9797165
Cisco                                   ,32.3828077,-98.9797165
Clairton,40.2922938,-79.8817181
Clanton,32.8392013,-86.6309229
Clara City,44.9549593,-95.3664045
Clare,43.9688673,-84.8505091
Clarence,41.8881899,-91.0558524
Clarendon,34.9359346,-100.8905829
Clarkesville,34.6125971,-83.5248933
Clarksville,36.5277607,-87.3588703
Claude,35.1081103,-101.362741
Clay Center,39.376941,-97.124743
Claypool,33.4064295,-110.843067781667
Claysburg,40.2967427,-78.449737
Clayton,33.5204959,-84.3591713
Clear Brook,39.2564912,-78.096111
Clear Lake,43.1370751,-93.3813637
Clearfield,40.9908706,-78.4457422
Clearwater,27.9658533,-82.8001026
Clementon,39.8115033,-74.9829443
Cleveland,41.4996574,-81.6936772
Clifton,40.8584328,-74.1637553
Clifton Park,42.8631868,-73.7812103
Clines Corners                          ,35.0094982,-105.66918
Clint,31.5900742,-106.227871
Clinton,40.7652778,-73.993889
Clinton                                 ,40.7652778,-73.993889
Clintonville,44.6205348,-88.7623227
Clive,41.6096559,-93.7754644
Cloquet,46.7217279,-92.4613669
Cloverdale,38.8064632,-123.0178759
Clovis,34.405472,-103.2050709
Clyde,32.4059605,-99.4936912
Clyde                                   ,32.4059605,-99.4936912
Coachella,33.67114675,-116.134234671006
Cochrane                                ,50.630898,-82.1914444
Cochranton                              ,41.5200534,-80.0483929
Cocoa,28.3556635,-80.7325345
Coffeyville,37.0372999,-95.6163634
Cohasset,47.263556,-93.620215
Cokato,45.075043,-94.1903675
Cokeville,42.0848242,-110.9566093
Colby,44.56118735,-69.6584583058177
Colby                                   ,44.56118735,-69.6584583058177
Coldwater,41.941091,-85.0030617
Coleman,31.7766863,-99.4461098
Colfax,41.5738643,-97.0828487
Colgate,51.0813587,-0.2436334
Collins,41.9028032,-93.3063381
Collins                                 ,41.9028032,-93.3063381
Colman,43.982472,-96.814497
Colman                                  ,43.982472,-96.814497
Coloma,42.1861494,-86.308356
Colonial Heights,37.2555718,-77.4112016
Colorado City,32.3930337,-100.86351
Colorado Springs,38.8339578,-104.825348
Columbia,4.099917,-72.9088133
Columbia Falls                          ,48.3697168,-114.191582
Columbus,39.9622601,-83.0007065
Columbus                                ,39.9622601,-83.0007065
Comanche,31.9130171,-98.527388
Combes,43.603,3.0461
Combined Locks,44.2658205,-88.314273
Comfort,29.967715,-98.9050337
Commerce,34.003218,-118.1541961
Commerce City,39.8083196,-104.9338675
Como,45.9394759,9.14941013254579
Concord,43.207178,-71.537476
Concordia,31.3941887,-91.6714379
Concordia                               ,31.3941887,-91.6714379
Conley,33.6448311,-84.3257571
Conneaut,41.9440977,-80.5561011
Conover,35.7065004,-81.2184383
Conrad                                  ,42.2247216,-92.8742749
Convent,30.0205669,-90.8297092
Converse,43.0202459,-105.5046207
Converse                                ,43.0202459,-105.5046207
Conway,35.0891932,-92.4398402
Cookeville,36.1623886,-85.4997057
Cookstown,54.6436734,-6.7416008
Coolville                               ,39.2217427,-81.7973557
Coopersburg                             ,40.51146,-75.3903376
Coopersville,43.0639112,-85.9347667
Copan                                   ,-23.54659435,-46.6445330617117
Copiague,40.6840538,-73.4008102
Coquitlam                               ,49.2842958,-122.793281
Coralville,41.6759977,-91.580705
Corbin,36.9486986,-84.0968761
Cordele,31.9691606,-83.782718
Corfu,39.591337,19.8596189187339
Corinna,44.921543,-69.261932
Corinne                                 ,41.5498576,-112.110716
Corinth,37.9385413,22.9273768
Cornersville,35.3614649,-86.8397237
Corning,40.9901625,-94.7347831
Corpus Christi,27.7635302,-97.4033191
Corpus Christi                          ,27.7635302,-97.4033191
Correctionville,42.4749887,-95.785565
Corrigan                                ,30.9968565,-94.8271527
Corsicana,32.091299,-96.4646821
Cortez,37.3494528,-108.584073
Coshocton                               ,40.2905684,-81.9271441
Cottage Grove,44.8277446,-92.9438218
Cottondale,30.7971363,-85.3765965
Cotulla,28.4358692,-99.2350791
Coudersport,41.7728108,-78.0192691
Council,44.7298876,-116.438198
Council Bluffs,41.258841,-95.8519484
Courtland                               ,44.2682979,-94.3402456
Coushatta                               ,32.0148834,-93.3421165
Covington,39.0831712,-84.5107548
Cowpens,35.0167918,-81.8039916
Cozad,40.8595822,-99.9858546
Craig,37.4760225,-80.1990826
Cranbrook,49.5107477,-115.7672772
Cranbury,40.3099385,-74.5177224123015
Crane                                   ,31.4486118,-102.5163544
Crawfordsville,40.0401991,-86.8990249
Crawfordsville                          ,40.0401991,-86.8990249
Crawfordville                           ,33.5539938,-82.8961899
